Threads      Clients      Throughput      Read_latency    Update_latency  CPU_AVG_usage_Usr    CPU_AVG_usage_Sys    CPU_AVG_usage_Idle  
1            15           136276.76       87.68           127.40          15                   2                    82.7                
5            15           274930.16       231.68          305.28          24.65                9.3                  65.95               
8            15           285254.79       376.76          455.50          26.3                 12                   62                  
10           15           285975.25       480.66          558.93          26.6                 12.25                61.15               
15           15           291014.92       729.46          806.88          27                   12.55                60.85               
20           15           289508.27       992.28          1069.40         26.95                12.7                 61                  
25           15           285803.07       1268.17         1344.72         27.1                 12.75                60.65               
30           15           288639.52       1509.80         1591.69         27.3                 12.7                 60.3                
35           15           292390.31       1749.88         1827.65         27.55                12.8                 60.1                
40           15           291939.10       2009.42         2087.48         27.6                 13                   60                  
50           15           297780.92       2472.81         2549.18         27.9                 12.85                59.65               
80           15           304274.29       3895.89         3972.94         29                   13                   58.3                
100          15           300618.34       4936.88         5016.98         29.35                13                   57.95               
120          15           306625.70       5817.34         5894.75         30                   13                   57.05               
